meta_url,name,num,lat,lon,junk
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BNY,BURNS CANYON,6000,34.208,116.621 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BOB,BOB RABBIT,3848,35.568,118.288 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BOC,BOCA RESERVOIR,5521,39.383,120.1 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BOM,BOWMAN LAKE,5650,39.458,120.6 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BOW,BOWMAN,5385,39.45,120.65 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BP1,BIG PINE CREEK,1,10000,37.125,118.483 
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BP2,BIG PINE CREEK,2,9700,37.127,118.47 
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BP3,BIG PINE CREEK,3,9800,37.128,118.475 
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BPD,PARROT DIV FROM BUTTE CREEK,269,39.709,121.755 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BPF,BIG PINE FLAT,6861,34.319,117.013 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BPG,BEAR R. AT PLEASANT GROVE RD,75,38.9833,121.4881 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BPI,BIG PINES,3917,34.379,117.692 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BPK,BALD PEAK,1905,37.8836,122.2219 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BPM,BIG PINE MEADOW,7340,35.947,118.063 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BPN,BIG PINE PH,3,4680,37.126,118.323 
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BPP,BIG PINES PARK,6845,34.379,117.691 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BPT,BRIDGEPORT,6650,38.272,119.289 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BQC,BOUQUET CANYON,3008,34.54,118.5 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BRA,SALINAS RIVER NEAR BRADLEY,443,35.93,120.868 ,
